headlines,article_clean,summary_clean,generated_summary,rouge1,rouge2,rougeL,generated_wc,summary_wc
Hackers take down 30 Pak govt websites to avenge Jadhav,"India's digital warriors have crippled 30 Pakistan government websites in virtual surgical strikes as protest against the neighbouring country's announcement of the death penalty to former Navy officer Kulbhushan Jadhav.A Pakistani military court this month ordered the punishment for Jadhav, after he was accused of espionage and sabotage activities in Karachi and Balochistan.""All the hacking in Pakistan was part of our operation 'Justice for Kulbhushan Jadhav',"" one of the hackers told Mail Today. Indian and Pakistani hackers also fought pitched battles in cyber space after last September's terrorist attack on a military camp in Jammu and Kashmir's Uri sector.A message on a hacked Pakistani website read, ""Charges against Kulbhushan Jadhav are fictitious, fake and farcical. There is no evidence of wrong doing by him. This is an act of ""premeditated murder'. Earlier it was Sarabjeet, now it's Jadhav.""GROUP OF 11 HACKERS TAKE RESPONSIBILITYResponsibility of hitting the websites was taken by ""lulzsec India"", comprising 11 hackers. Experts say many nations are deploying cyber warriors to attack vital organizations in enemy countries. Pakistan, China, Iran and North Korea have deployed hackers by granting them immunity from consequences.Another hackers' group, Telangana Cyber Warrior, claims it has infected the network of a government hospital in Karachi. ""We have their entire computer network under our control. We can modify patients' records and monitor their health condition,"" said a member of the group.The Kerala Cyber Warriors hacked the website of Pakistan Academy for Rural Development. The website's main page is warped in a way that it displays a message demanding ""justice for Kulbhushan Jadhav Ji"". The message reads that the ""Indian spy"", in custody of Pakistani authorities, ""lives for India"" and all the cases filed against him are completely fake.'PAKISTANI HACKERS WILL TRY TO RESPOND IN KIND'Observers say Pakistani hackers will try to respond in kind and attempt to hack prominent and sensitive Indian websites. They have in the past carried out mass defacement and are focused on targeting government portals. State police websites were defaced by Pakistani hackers where they posted anti-India comments with an image of the Pakistan flag.Experts say the intelligence-gathering process has intensified as hackers are not only defacing the sites but are silently spying into critical networks.Kulbhushan Jadhav was arrested reportedly from Balochistan after he entered Pakistan from Iran. He was accused by Pakistan of being a ""RAW (Research and Analysis Wing) agent"" and planning ""subversive activities"" in the country. The Indian government, on the other hand, believed that he was picked up from Iran.India has acknowledged Jadhav as a retired Indian Navy officer, but denied that he was in any way connected to the government.ALSO READ | Who is Kulbhushan Jadhav, the Indian sentenced to death in Pakistan","Around 11 Indian hackers of lulzsec India group have reportedly taken down 30 Pakistani government websites in protest against the death penalty to former Navy officer Kulbhushan Jadhav by a Pakistan court. ""Charges against Kulbhushan Jadhav are fictitious, fake and farcical. There is no evidence of wrongdoing by him,"" read a message posted by hackers on a Pakistani website.","India's digital warriors have crippled 30 Pakistan government websites in virtual surgical strikes as protest against the neighbouring country's announcement of the death penalty to former Navy officer Kulbhushan Jadhav. A Pakistani military court this month ordered the punishment for Jadhv, after he was accused of espionage and sabotage activities in Karachi and Balochistan.",0.4173913043478261,0.23008849557522126,0.34782608695652173,54,59
Clashes erupt in J&K as educational institutions reopen,"As colleges and universities opened on Monday after a week in the Kashmir valley, students again clashed with security forces and resorted to stone pelting, officials said.Students of the SP College assembled on the Maulana Azad Road and started pelting stones on security forces causing blockade of one of the busiest roads in Srinagar.Police tried to prevent the students from blocking the road.Sporadic clashes continued as security forces tried to restore traffic on the highway.An official statement said all universities, colleges and higher secondary (Class 12 level) schools would open for academic activities in the valley on Monday.These educational institutions had remained closed for over a week following widespread protests by students after security forces entered a college in south Kashmir's Pulwama town on April 12.Over 50 students were injured after they protested against a temporary check-post outside the college by the security forces.The security forces attracted criticism after video clippings showing students being beaten inside the college premises by them, went viral on social networking sites. Also Read:","Students in the Kashmir Valley clashed with security forces and resorted to stone pelting as colleges and universities reopened on Monday, officials said. Stone pelting by the students of a local college caused a blockade of one of the busiest roads in Srinagar, they added. The educational institutions had remained closed for a week following protests by the students.",Students of the SP College assembled on the Maulana Azad Road and started pelting stones on security forces. The students caused blockade of one of the busiest roads in Srinagar.,0.5168539325842697,0.25287356321839083,0.38202247191011235,30,59
2 jawans martyred as militants attack Army convoy in J&K,"Two jawans have been killed and four others seriously injured as militants attacked an Army convoy on Jammu-Srinagar National Highway in Kulgam district's Qazigund area.The Army convoy, which was on its way to Jammu from Srinagar, was indiscriminately fired upon by militants near the Lower Munda toll post. Militant outfit Hizbul Mujahideen has claimed responsibility for the attack. The injured jawans were rushed to a hospital and a hunt is underway to arrest the militants. 2 JAWANS MARTYRED, 4 INJUREDThe jawans who have been martyred are OP Manivanang of 147 Light AD and Naik Deepak Methi of 54 FD regiment.Those injured have been identified as Naik subedar Shrinavas Murli of 106 TA Para, Naib Subedar Shiv Kumar of 54FD regiment, Vaid Prakesh 106TA Para and Subash Chand of 48AD. The area was cordoned off and traffic on the Srinagar-Jammu highway stopped.Lower Munda is located around 100 kilometres away from Srinagar.PAKISTAN VIOLATES CEASEFIREMeanwhile, Pakistan violated ceasefire in Jammu and Kashmir's Krishna Ghati Sector. The Indian forces are retaliating with full force. Firing is presently on.""The Pakistani troops initiated the ongoing firing exchange in Poonch district's Krishna Ghati sector since 9.20 a.m."", Defence Ministry spokesman Lieutenant Colonel Manish Mehta said.In another incident, Pakistani troops violated ceasefire on Friday night along the Poonch district on the LoC.""Pakistan Army used small arms, automatics, 82 mm and 120 mm mortars from 11 p.m. on Friday along the Poonch LoC,"" Mehta added.The Indian Army posts were retaliating strongly and effectively. (WITH INPUTS FROM AGENCIES)Also read | Jammu and Kashmir: Pakistan violates ceasefire in Poonch, Indian Army retaliates","An Army convoy was attacked by Hizbul Mujahideen militants on Jammu-Srinagar National Highway in Anantnag district on Saturday, resulting in the martyrdom of two soldiers and injuries to four others. Militants opened indiscriminate firing on the Army convoy, which was going to Srinagar. The area was later cordoned off and traffic on the highway was stopped.",Two jawans have been killed and four others seriously injured. Militant outfit Hizbul Mujahideen has claimed responsibility for the attack. Pakistan violated ceasefire in Jammu and Kashmir's Krishna Ghati Sector.,0.2727272727272727,0.046511627906976744,0.1590909090909091,30,56
"Startup makes caterpillar chips, cake to tackle malnutrition","Small black cylinders simmer in two pots, emitting a pungent and smoky smell.This is not someone s kitchen, however. It is the offices of agrifood company FasoPro, which double as a caterpillar laboratory.Kahitouo Hien walks hastily from one room to another, his T-shirt bearing an unusual slogan: Small caterpillars, big pleasure. Caterpillars are made up of more than 60% protein, says Hien. They are among the most nutritious foods available in Burkina Faso. According to the World Food Programme, acute malnutrition in Burkina Faso stands at 10.4%.Poor harvests, caused by drought, mean there is a lack of food and diverse nutrients in the country. Hien aims to change that. In 2015, he set up an improvised laboratory in Ouagadougou to industrialise the production of shea caterpillars insects that feed on the leaves of shea trees.Traditionally eaten in many parts of Burkina Faso, caterpillars are now sold at markets throughout the country as a tasty treat. But no one had thought of industrialising their production until now, says Hien.Hien decided to start his business while studying engineering at the University of California, Berkeley, in 2011. I wrote a business plan on caterpillars because I ve been eating them since childhood, he says. Hien s tutor encouraged him to take part in the university s global social venture competition, and he went on to win the prize for best social startup in 2012. Armed with the prize and his degree, Hien worked on developing his business for two years before finally selling his first caterpillars to market traders. It didn t start off well, he recalls. Our price 3,000 Central African francs (about 4) for one 500g pack of fresh caterpillars was just too high. He came up with a solution the day his steriliser broke down. Bags of fresh caterpillars were piling up and the insects were drying out, Hien said. We had to find a way to shift them. In January 2016, he launched a new product: dried caterpillars. At 650 francs (85p) for a 70g pack, the crunchy caterpillars were an instant hit. We sold 30,000 units last year, and hope to hit 100,000 this year, he says.Yelo Kam, one of his six employees, meticulously cuts labels for caterpillar bags. Kahitouo is an ambitious man, a visionary, she says, without lifting her eyes from her work. You have to be brave to hang in there. Hien s venture was given 42,000 (36,000) in 2016 after winning a French competition that rewards social initiatives. The money will allow us to attend regional fairs, as well as to find markets and partners in west Africa, he says.Hien still pursues his first passion: research. For several months, his team has been working on ways to breed caterpillars in a controlled environment, rather than in nature. Once mature, caterpillars normally hide in the ground to grow a stage that is only possible in porous soil, Hien explains. Yet with soils drying up, caterpillars are becoming rarer. While initial results are encouraging, the company needs more funds to finish its research, but the road ahead does not scare Hien. I like taking risks. Challenges spur me on. And he s already thinking of his next prototype: a cricket biscuit.","FasoPro, a startup based in African nation Burkina Faso creates products like salted cakes and pepper chips with protein-rich caterpillar powder to tackle malnutrition. The caterpillars, which feed on the leaves of shea trees, are made up of more than 60% protein. The startup was founded by Kahitouo Hien, a graduate of the University of California, Berkeley in 2011.","Kahitouo Hien set up FasoPro to industrialise the production of shea caterpillars. Caterpillars are among the most nutritious foods available in Burkina Faso. Hien decided to start his business while studying engineering at the University of California, Berkeley, in 2011.",0.4600000000000001,0.18367346938775514,0.3,40,59
Widow of IAF pilot received pension after waiting for 55 yrs,"The widow of an ace Air Force pilot, who died in a plane crash in service, had to wait over five decades after her husband's death to get the pension due to her, in an incident underscoring government apathy towards families of martyred soldiers.Kamla Lowe, now 95, was fighting for the special family pension, which is given to widows of officers and men who died in service while carrying out their duties. A military court finally gave her justice.Squadron Leader JM Lowe was a test pilot in the Air Force on deputation with Hindustan Aeronautics Limited (HAL) and died on June 19, 1962 in a flying accident. His widow with her four-year-old child had been fighting since then for the dues.THE INCIDENTThe accident occurred 55 years ago in Bengaluru while the pilot was test-flying the Gnat aircraft, which developed severe mechanical failure witnessed as ""violent pitch oscillations"" prior to delivery to the IAF.""Despite the fact that the officer's widow is entitled to special family pension, the government in September 2004 rejected her appeal by giving an illogical reason that under the terms of deputation the applicant had already availed the benefits of insurance,"" Lowe's counsel Wing Commander Ajay Bhalla told Mail Today.Kamla Lowe also had to wait nine years for getting the ordinary pension and had to suffer a lot because of the lack of it, her husband's case revealed.The lady had also been fruitlessly writing letters to various authorities concerned to get her dues from the government.The government countered her by saying that she could not be given the special pension as her husband had opted for an insurance scheme before his death and also opposed the plea in the Armed Forces Tribunal, saying that she had come for justice after 55 years and her plea should dismissed on the basis of delay in approaching the court.The government also told the court that finding papers of the family pension granted to the widow of the officer and documents related to his deputation to HAL also could not be found as the matter was very old.""Pained"" by the sufferings of the IAF officer's widow, the tribunal bench headed by Chairperson Justice Virendra Singh said, ""Apart from the awful trauma of losing her husband, and having to bring up her four-year-old child, all alone, we observe that for almost nine years this widow was not even granted the basic right of ordinary family pension."" The chairperson in his order said the terms and conditions of that insurance (opted for by the martyred pilot) ""are not before us"".""However, it would be pertinent to mention that no insurance scheme can take away the right of pension of a serviceman, and therefore, consequently the widow,"" he said.The court said the government has to deal fairly with its workforce as ""employees cannot be asked to sign undertakings contrary to law.""Ruling in favour of the elderly lady, the court said, ""We find no impediment in the applicant being granted Special Family Pension as prayed for. Her plea is allowed and the impugned order rejecting the claim of the applicant for Special Family Pension is hereby set aside.""ARREARS","A 95-year-old widow of an Indian Air Force pilot, who died in a plane crash in 1962, waited 55 years to get the due special pension. In 2004, her appeal got rejected, saying her husband had already availed the insurance benefits. A military court finally gave her the special pension, which is for widows of officers who died on duty."," JM Lowe was a test pilot in the Air Force on deputation with Hindustan Aeronautics Limited (HAL) He died on June 19, 1962 in a flying accident. His widow with her four-year-old child had been fighting since then for the dues.",0.3619047619047619,0.09708737864077668,0.17142857142857143,41,60
PM crossed limits of decency in his remark on Manmohan: JD-U,"A day after Prime Minister Narendra Modi attacked his predecessor Manmohan Singh with ""taking bath while wearing a raincoat "" jibe, the Congress has decided to boycott the Budget session in Parliament.The Congress has also sought an apology from the Prime Minister over the barb. The Congress and some other parties in Opposition had walked out of the Rajya Sabha on Wednesday after Narendra Modi's remark on Manmohan Singh. Later in the day, P Chidambaram started discussion on the Union Budget in the Rajya Sabha and called it ""disappointing"". ""It is a damp squib. There is no relief to any section of society. Youth are disappointed as they don't see any hope,"" the former finance minister said. HERE ARE THE LIVE UPDATES:The Prime Minister today morning tweeted about his Rajya Sabha address. ""The distinction is clear--people of India support moves to eliminate corruption and black money while some politicians oppose it,"" he said. He also called the attacks on RBI ""unfortunate"". ""Why demean the sanctity of institutions just to settle political scores "" he tweeted.The distinction is clear- people of India support moves to eliminate corruption & black money while some politicians oppose it. pic.twitter.com/bePaQmUjkoJust after his address to the Rajya Sabha on Wednesday, the Prime Minister had tweeted: ""Spoke about demonetisation, why it was essential and how the entire nation has come together to uproot corruption and black money"".","JD(U) leader Sharad Yadav on Thursday said PM Narendra Modi crossed limits of decency in his remark on former PM Manmohan Singh. ""Had someone else said it, it would have been different. PM should not have said so, it was in bad taste,"" Yadav added. Modi had said that only Manmohan knows how to take bath while wearing a raincoat.",The Congress has also sought an apology from the Prime Minister over the barb. The Congress and some other parties in Opposition had walked out of the Rajya Sabha on Wednesday after Narendra Modi's remark.,0.14432989690721648,0.021052631578947368,0.08247422680412371,35,60
UK PM May suspends MP over 'n****r in the woodpile' comment,"Theresa May has ordered the Conservative party s chief whip to suspend an MP who used the N-word at an event during a discussion about Brexit.Anne Marie Morris, the MP for Newton Abbot in Devon, said sorry for causing offence with her use of the word, after a string of opposition politicians accused her of racism.However, the prime minister decided to suspend the whip from Morris after saying the remarks were shocking and unacceptable.The row broke out after Morris was recorded telling an event: Now I m sure there will be many people who ll challenge that, but my response and my request is look at the detail, it isn t all doom and gloom. Now we get to the real nigger in the woodpile, which is, in two years what happens if there is no deal Her remarks, recorded by the Huffington Post at the East India Club, caused an immediate backlash, with opposition politicians calling on May to withdraw the whip from Morris.Within an hour of the comments emerging, Morris had issued a statement of apology. The comment was totally unintentional. I apologise unreservedly for any offence caused, she said in an email.About three hours later, May released a statement saying Morris was being disciplined and the whip suspended. I was shocked to hear of these remarks, which are completely unacceptable, May said. I immediately asked the chief whip to suspend the party whip. Language like this has absolutely no place in politics or in today s society. A Conservative source said that May had initially been unaware of the remarks because she was had been with the Australian leader and then in the House of Commons.Morris is likely to carry on voting with the whip but the move notionally reduces May s fragile majority of just six, if both Conservative and DUP MPs are included.Politicians from across the spectrum expressed their disgust at Morris s words, including Tory MP Heidi Allen, who said an apology was not enough and the party must show zero tolerance towards racism. Tulip Siddiq, the Labour MP for Hampstead and Kilburn, called in a tweet for the prime minister to take disciplinary action:I'm absolutely appalled by this. I assume PM will take appropriate action Farron, the outgoing leader of the Liberal Democrats, was one of the first to call for Morris to lose the Tory whip. This disgusting comment belongs in the era of the Jim Crow laws and has no place in our parliament, he said. The Conservative party should withdraw the whip from Anne Marie Morris and they should do it today. Every hour they leave her in place is a stain on them and the so-called compassionate conservatism they supposedly espouse. I am utterly shocked that this person represents the good people of Newton Abbot. Even if she mis-spoke, this is the nastiest thing I ve heard an MP utter since Lord Dixon-Smith uttered the same awful phrase a few years ago. Caroline Lucas, co-leader of the Green party, also called on the Tories to remove the whip. Appalling. Should have the whip removed immediately. No place in our politics for racism, full stop. Gwynne, Labour s campaign coordinator, said Morris s comments were outrageous and totally unacceptable . While the Conservative party has tabled a debate on Wednesday to apparently discuss and condemn abuse of candidates in the general election, these comments prove their hypocrisy, he said. Theresa May once spoke about changing the Tories nasty party tag. If she s serious about that, she will admit it s not enough for the Tories to investigate and will apologise and act immediately. If that means withdrawing the whip, that s what they should do. Earlier this year, Morris distanced herself from comments made by her electoral agent and partner, Roger Kendrick, who told a hustings event that the crisis in education was due entirely to non-British-born immigrants and their high birth rates .In response, Morris told DevonLive: I don t share the views expressed by Roger Kendrick. One person at the Brexit event contacted the Guardian because he was so shocked about what he had heard Morris say. I attended in a professional capacity with a colleague, he said. I work in financial services and was there to hear about the report on enhanced equivalence being published. I was completely taken aback after hearing such a vile and offensive phrase being used by someone in public life, who should be campaigning against such language being used, not dispensing it herself.","UK PM Theresa May has suspended Conservative MP Anne Morris after she described the country's departure from the European Union without an agreed deal as ""the real n****r in the woodpile"". Morris was accused of racism for using the N-word and PM May denounced it as ""completely unacceptable"". Morris later apologised for her remark, saying ""the comment was totally unintentional"".",Anne Marie Morris said sorry for causing offence with her use of the word. Opposition politicians accused her of racism. But the prime minister decided to suspend the whip from Morris after saying the remarks were shocking and unacceptable.,0.41176470588235287,0.060000000000000005,0.196078431372549,39,60
I was in no-strings-attached relationships: Ranveer,"Ranveer Singh's Befikre is busy minting money at the box office. The film which is about carefree love and no-strings-attached relationships speaks a lot about modern-day romance. But Ranveer, who says that he is traditional when it comes to matters of the heart, admits that once upon a time he was a carefree lover and did enter into many no-strings-attached relationships. ALSO READ: I had my first crush in Class 1, says Ranveer Singh ALSO READ: Ranveer Singh calls Deepika Padukone marriage material. Here's what Deepika's dad has to say When asked about his frivolous relationships, Ranveer in a interview to Filmfare said, ""There was a phase in my life where I was only in no-strings-attached relationships. I'd cut off any string that I'd see. But yeah, you change and evolve as a person. You crave something more substantial. Now I can't even think of such relationships. My biological clock is ticking. I want to become a family man. I love kids.""","Actor Ranveer Singh has admitted that there was a phase when he was only in no-strings-attached relationships. ""I'd cut off any string that I'd see. But yeah, you change and evolve as a person. You crave something more substantial. Now I can't even think of such relationships,"" he added. Ranveer further said that he wants to become a family man.",Ranveer Singh's Befikre is about carefree love and no-strings-attached relationships. Ranveer admits that once upon a time he was a carefree lover. He says he is traditional when it comes to matters of the heart.,0.36893203883495146,0.1386138613861386,0.21359223300970875,35,60
"Depression needs expression, not suppression: PM Modi","In the 30th edition of Mann Ki Baat, Prime Minister Narendra Modi addressed the nation for the first time after BJP's resounding success in Assembly elections 2017.Modi in his national radio address 'Mann Ki Baat' wished prosperity for the neighbouring country, recalling the common memories of Rabindranath Tagore shared by both India and Bangladesh.""We all are proud that both the nations share the memories of Gurudev Rabindra Nath Tagore who wrote the national anthem of both India and Bangladesh,"" the Prime Minister said.","Addressing the 30th edition of his monthly radio address 'Mann Ki Baat', Prime Minister Narendra Modi on Sunday asserted that depression needed expression and not suppression. ""We are fortunate to have been raised in joint families, it ends any chance of...depression,"" he said. PM Modi also said it is good to share your feelings with others if feeling depressed.",Modi in his national radio address 'Mann Ki Baat' wished prosperity for the neighbouring country. He recalled the common memories of Rabindranath Tagore shared by both India and Bangladesh.,0.2921348314606742,0.09195402298850575,0.17977528089887643,29,59
BJP to launch separate cell for young women in Delhi,"With the aim to engage and mobilise young women in the age group of 18-25 years, the Bharatiya Janata Party (BJP) in Delhi has planned to set up Yuvti Prakoshth (Young Women s Cell) for the first time. The proposed unit will not be the part of either Mahila Morcha (Women s Wing) or Yuva Morcha (Youth Wing), and will work as an independent division. The decision has been taken following the directions of Rashtriya Swayamsevak Sangh (RSS). A party leader privy to the development said Ram Lal, national general secretary (organisation) of the BJP, had asked the state leadership to expand its base among young females, especially those who stay at home. While interacting with the state leadership during party president Amit Shah s pravas (stay) in Delhi last week, Ram Lalji directed to bring young women to party fold. His view was that there are women who are impressed with party s policies and ideology, but they don t come out for different reasons. A special drive should be initiated to persuade them to join the party, the leader said. Following Ram Lal s instruction, state unit chief Manoj Tiwari has directed its Youth Wing (all 14 district presidents) to carry out an identification drive. The members of the Youth Wing have been asked to prepare a list of women in the age group of 18-25 years and are willing to work for the outfit. In the first phase, the district or block level leaders will prepare a list. Thereafter, a detailed strategy will be chalked out for further course of action. They are specifically been told that no pressure should be put on anyone, and to invite only those who are keen to join, said a party insider. The BJP leaders, justifying the move, said the proposed cell will facilitate to tap a large section of the society, which generally remains unattended . Female students mostly go to the Youth Wing and to work with the Mahila Morcha, one should be aged 25. Therefore, a significant number of women in the age group of 18-25 years are not actively involved in political activities. The party now plans to focus on this age group to strengthen the organisation further in the city, he said.","The Bharatiya Janata Party in Delhi plans to launch a separate cell for young women between the age group of 18 to 25 years for the first time, according to reports. The independent 'Yuvti Prakoshth' (Young Women's Cell) will focus on those females who stay at home and are not politically active due to different reasons, the reports added.",The proposed unit will not be the part of either Mahila Morcha or Yuva Morcha. The decision has been taken following the directions of Rashtriya Swayamsevak Sangh.,0.16091954022988508,0.0,0.1149425287356322,27,59
Woman kills sister for showing interest in her boyfriend,"Growing closeness with her sister s boyfriend claimed the life of a 24-year-old woman in northeast Delhi s Shastri Park near Seelampur last week. The woman, identified as Sonam, was shot dead at point blank range by her sister Shazia using a country made pistol at their home on December 14. The pistol belonged to the boyfriend of the accused. He used to hide the gun at her house. Both Shazia and Sonam were divorced.On Monday, the northeast district police arrested 21-year-old Shazia and recovered the weapon of offence, even as she tried convincing the police that her sister was killed by her stalker who had been harassing her for the past some months. Police said Shazia cooked up the stalking story to mislead the probe.A senior police officer said that during the questioning, Shazia disclosed the alleged involvement of her boyfriend Waseem. She said that he gave her the idea of killing Sonam. The couple was angry with Sonam as she had threatened to reveal their relationship to their parents. Sonam had also allegedly started showing interest in Waseem. AK Single, deputy commissioner of police (northeast), said that last week, Shazia and Sonam entered into an argument over this. Their fight turned into a scuffle during which Shazia took out her boyfriend s pistol and shot Sonam at point blank range, Single said. As Sonam collapsed, Shazia rushed out with the pistol and went to the house of her neighbour Abid, who had been introduced to her by Waseem. She left the pistol at Abid s home and returned.Shazia informed her parents who were out at that time. They returned home and rushed Sonam to a nearby hospital where doctors pronounced her dead on admission. The hospital authorities then called the police. The police took Sonam s father into custody for questioning as the family had not informed them about the firing. Shazia and other relatives were also questioned. She initially tried misleading us with a stalking story which she cooked up to hide her own crime. But as her behaviour was suspicious and there were discrepancies in her statement, we questioned her separately during which she confessed to the crime, said the officer.Waseem and Abid were absconding after the crime and teams have been formed to nab them. The police want to know why Waseem had kept the pistol at Shazia s home. Whether Waseem has a criminal background can be confirmed only when we arrest and question him. The antecedents of Abid are also being verified, the officer said.","The Delhi police arrested a 21-year-old woman, Shazia, on Monday for allegedly killing her sister because of the latter's growing interest in the accused's boyfriend. The accused initially tried to mislead by saying that her sister was killed by her stalker, police said. Shazia had allegedly killed her sister using a country-made pistol, which reportedly belonged to the accused's boyfriend.","The woman, identified as Sonam, was shot dead at point blank range by her sister Shazia using a country made pistol at their home on December 14. The pistol belonged to the boyfriend of the accused. He used to hide the gun at her house.",0.43243243243243246,0.1834862385321101,0.27027027027027023,45,60
Successive governments short-changed Air India: TMC leader,"New Delhi, Aug 2 (PTI) Successive governments have ""short changed"" Air India by treating it like their private properties, TMC leader Dinesh Trivedi said today as he urged the Centre to review the decision to divest stake in the airline. ""By just looking at the debt and ignoring the revival signs would be to take a narrow view of the situation,"" the former railway minister said. As part of efforts to revive the national carrier, the Cabinet has given in-principle approval for divestment and the final contours are being worked out by a group of ministers. ""If Air India today is in this financial situation it was not because of Air India but successive governments have short-changed Air India and treated it like their private properties and at times private airlines, be international or domestic came under category of favoured airlines,"" Trivedi told PTI. Against this backdrop, Trivedi said it is evident that there is potential for further growth of Air India if the turnaround plan continues along with other rationalisation measures.","TMC leader Dinesh Trivedi has said that successive governments have ""short changed"" Air India by treating it like their private properties. Trivedi urged the government to reconsider its decision to privatise it. ""As the government operates BSNL and MTNL in communications and Doordarshan and All India Radio in broadcasting, it should have a national carrier as well,"" he added.",TMC leader Dinesh Trivedi urged the Centre to review the decision to divest stake in the airline. Cabinet has given in-principle approval for divestment. Final contours are being worked out by a group of ministers.,0.3157894736842105,0.12903225806451615,0.2526315789473684,35,59
Axis Bank denies reports of CEO Shikha Sharma's resignation,"New Delhi, Mar 22 (PTI) Private sector lender Axis Bank today said its MD & CEO Shikha Sharma is not resigning. ""..The news appearing in section of social media stating the impending resignation of the MD & CEO of the Bank, which please note is false, speculative and is being circulated with the mala fide intention of misleading the investors and the general public,"" Axis Bank said in a clarification to the BSE. Axis Bank has been under pressure over a sharp fall in third quarter profits along with Income Tax Department raids on some of its branches post-demonetisation.","Axis Bank on Wednesday dismissed the reports of its MD and CEO Shikha Sharma's resignation. ""The news is false, speculative and is being circulated with the mala fide intention of misleading the investors and the general public,"" the bank said. Axis Bank's Q3 profit witnessed a sharp fall over Income Tax Department raids on some of its branches post demonetisation.","Axis Bank has been under pressure over a sharp fall in third quarter profits. Income Tax Department raids on some of its branches post-demonetisation. The news is false, speculative and is being circulated with the mala fide intention of misleading the investors and the general public.",0.7339449541284404,0.6355140186915887,0.4954128440366973,46,60
Considered applying for India coach: Ex-Aus pacer Gillespie,"Jason Gillespie, former Australian cricketer, has revealed he thought long and hard about applying for Indian cricket team s coaching job, which was eventually assigned to Ravi Shastri.While Shastri remained favourite right from the moment he applied for the position after Anil Kumble s unceremonious exit. The former all-rounder was eventually named the head coach for a period of two years running till the end of the ICC World Cup 2019.(Read | Jason Gillespie appointed interim coach of Papua New Guinea) Gillespie, who in past has won the County Championship twice in succession with Yorkshire in England as well as the Big Bash League (BBL) in Australia with Adelaide Strikers, has had an impressive run as a coach.Jason Gillespie, who has now taken up an interim coaching role with Papua New Guinea (PNG), was set to coach Australia A on their tour of South Africa. The tour, however, got cancelled as the Australian cricketers refused to travel in wake of Cricket Australia (CA) and Australian Cricketers Association (ACA) failing to arrive at a solution regarding the payment dispute.(Read | West Indies recall Kemar Roach for England tour, Darren Bravo left out) Gillespie was quoted as saying by cricket.com.au, I talked a lot about that with my family. I to ed and fro ed. I had days where I thought, right, I m definitely applying for it, I m going to have a crack and see how far I get . Other days where I wasn t so sure. In the end I just felt I wasn t quite ready for that opportunity. I think it would have been a wonderful job and I congratulate Ravi Shastri on getting that job. Maybe one day in a couple of years that d be something I d seriously consider, he added.(Read | Ravichandran Ashwin is a smart cricketer, says Muttiah Muralitharan) The 42-year-old also gave a miss to the opportunity that is available with Sri Lanka, after the governing body in the island nation sacked Graham Ford despite having a successful record with the national side as well as a strong bonding with the players. It d be a wonderful job (coaching Sri Lanka), Gillespie said. Sri Lanka was one of my favourite places to tour as a player, I loved playing cricket there, I love the country, it d be a fantastic job, he added.(Read | BCCI inks five-year deal with IMG for Indian Premier League) But, and this is with all due respect, they haven t had a history of sticking with their coaches for too long so that would definitely be in the back of all coaches minds. The recent history over last five or so years, there s been a high turnover of coaches so that certainly would be in the back of coaches minds it d be in the back of my mind, he added.The former Australian cricketer in a way backed BCCI s call to make Shastri the head coach of the national team. You ve always just got to have an approach to just select the best guy. If it s a local guy, it s a local guy. If it s an international, then so be it. You certainly don t want to get up in the politics of all that. All you can do as a coach is present your case on how you think you can make a difference and help the team perform better, he said. If you re the best man for the job, then you should get offered that opportunity. Speaking as a coach, you only want to be judged on whether you think you can make a difference and help the side, and that s how it should be. We ll have to wait and see on what jobs come up in the future, Gillespie concluded.","Former Australian fast bowler Jason Gillespie has said that he ""seriously considered"" applying for the Indian cricket team's coaching job, which was eventually given to Ravi Shastri. ""I talked a lot about that with my family... In the end, I just felt I wasn't quite ready for that opportunity,"" added the 42-year-old, who is now Papua New Guinea's interim coach.",Former Australian cricketer Jason Gillespie has revealed he thought long and hard about applying for Indian cricket team's coaching job. Ravi Shastri was eventually assigned to the position. Gillespie has now taken up an interim coaching role with Papua New Guinea (PNG),0.5185185185185186,0.2641509433962264,0.40740740740740744,42,60
